sample_id,haplotype,site,excluded_from_stats
K0909,H03,Ancient_WJD_Tower,
K0914,H04,Ancient_WJD_Tower,
Z9850,H02,Ancient_WJD_Main,
Z9851,H05,Ancient_WJD_Main,
Z9852,H06,Ancient_WJD_Main,
Z9853,H07,Ancient_WJD_Main,YES
Z9854,H01,Ancient_WJD_Main,
Z9855,H08,Ancient_WJD_Main,
Z9856,H01,Ancient_WJD_Main,
Z9857,H09,Ancient_WJD_Main,
Z9858,H01,Ancient_WJD_Main,
Z9859,H10,Ancient_WJD_Main,
Z9860,H11,Ancient_WJD_Main,
Z9861,H12,Ancient_WJD_Main,
Z9863,H13,Ancient_WJD_Main,
Z9864,H14,Ancient_WJD_Main,YES
Z9865,H15,Ancient_WJD_Main,
Z9867,H02,Ancient_WJD_Main,
